"dgns_cd","longdesc","shortdesc","version","fyear"
"0010","Cholera due to vibrio cholerae","Cholera d/t vib cholerae",32,2015
"0011","Cholera due to vibrio cholerae el tor","Cholera d/t vib el tor",32,2015
"0019","Cholera, unspecified","Cholera NOS",32,2015
"0020","Typhoid fever","Typhoid fever",32,2015
"0021","Paratyphoid fever A","Paratyphoid fever a",32,2015
"0022","Paratyphoid fever B","Paratyphoid fever b",32,2015
"0023","Paratyphoid fever C","Paratyphoid fever c",32,2015
"0029","Paratyphoid fever, unspecified","Paratyphoid fever NOS",32,2015
"0030","Salmonella gastroenteritis","Salmonella enteritis",32,2015
"0031","Salmonella septicemia","Salmonella septicemia",32,2015
"00320","Localized salmonella infection, unspecified","Local salmonella inf NOS",32,2015
"00321","Salmonella meningitis","Salmonella meningitis",32,2015
"00322","Salmonella pneumonia","Salmonella pneumonia",32,2015
"00323","Salmonella arthritis","Salmonella arthritis",32,2015
"00324","Salmonella osteomyelitis","Salmonella osteomyelitis",32,2015
"00329","Other localized salmonella infections","Local salmonella inf NEC",32,2015
"0038","Other specified salmonella infections","Salmonella infection NEC",32,2015
"0039","Salmonella infection, unspecified","Salmonella infection NOS",32,2015
"0040","Shigella dysenteriae","Shigella dysenteriae",32,2015
"0041","Shigella flexneri","Shigella flexneri",32,2015
"0042","Shigella boydii","Shigella boydii",32,2015
"0043","Shigella sonnei","Shigella sonnei",32,2015
"0048","Other specified shigella infections","Shigella infection NEC",32,2015
"0049","Shigellosis, unspecified","Shigellosis NOS",32,2015
"0050","Staphylococcal food poisoning","Staph food poisoning",32,2015
"0051","Botulism food poisoning","Botulism food poisoning",32,2015
"0052","Food poisoning due to Clostridium perfringens (C. welchii)","Food pois d/t c. perfrin",32,2015
"0053","Food poisoning due to other Clostridia","Food pois: clostrid NEC",32,2015
"0054","Food poisoning due to Vibrio parahaemolyticus","Food pois: v. parahaem",32,2015
"00581","Food poisoning due to Vibrio vulnificus","Food poisn d/t v. vulnif",32,2015
"00589","Other bacterial food poisoning","Bact food poisoning NEC",32,2015
"0059","Food poisoning, unspecified","Food poisoning NOS",32,2015
"0060","Acute amebic dysentery without mention of abscess","Ac amebiasis w/o abscess",32,2015
"0061","Chronic intestinal amebiasis without mention of abscess","Chr amebiasis w/o absces",32,2015
"0062","Amebic nondysenteric colitis","Amebic nondysent colitis",32,2015
"0063","Amebic liver abscess","Amebic liver abscess",32,2015
"0064","Amebic lung abscess","Amebic lung abscess",32,2015
"0065","Amebic brain abscess","Amebic brain abscess",32,2015
"0066","Amebic skin ulceration","Amebic skin ulceration",32,2015
"0068","Amebic infection of other sites","Amebic infection NEC",32,2015
"0069","Amebiasis, unspecified","Amebiasis NOS",32,2015
"0070","Balantidiasis","Balantidiasis",32,2015
"0071","Giardiasis","Giardiasis",32,2015
"0072","Coccidiosis","Coccidiosis",32,2015
"0073","Intestinal trichomoniasis","Intest trichomoniasis",32,2015
"0074","Cryptosporidiosis","Cryptosporidiosis",32,2015
"0075","Cyclosporiasis","Cyclosporiasis",32,2015
"0078","Other specified protozoal intestinal diseases","Protozoal intest dis NEC",32,2015
"0079","Unspecified protozoal intestinal disease","Protozoal intest dis NOS",32,2015
"00800","Intestinal infection due to E. coli, unspecified","Intest infec e coli NOS",32,2015
"00801","Intestinal infection due to enteropathogenic E. coli","Int inf e coli entrpath",32,2015
"00802","Intestinal infection due to enterotoxigenic E. coli","Int inf e coli entrtoxgn",32,2015
"00803","Intestinal infection due to enteroinvasive E. coli","Int inf e coli entrnvsv",32,2015
"00804","Intestinal infection due to enterohemorrhagic E. coli","Int inf e coli entrhmrg",32,2015
"00809","Intestinal infection due to other intestinal E. coli infections","Int inf e coli spcf NEC",32,2015
"0081","Intestinal infection due to arizona group of paracolon bacilli","Arizona enteritis",32,2015
"0082","Intestinal infection due to aerobacter aerogenes","Aerobacter enteritis",32,2015
"0083","Intestinal infection due to proteus (mirabilis) (morganii)","Proteus enteritis",32,2015
"00841","Intestinal infection due to staphylococcus","Staphylococc enteritis",32,2015
"00842","Intestinal infection due to pseudomonas","Pseudomonas enteritis",32,2015
"00843","Intestinal infection due to campylobacter","Int infec campylobacter",32,2015
"00844","Intestinal infection due to yersinia enterocolitica","Int inf yrsnia entrcltca",32,2015
"00845","Intestinal infection due to Clostridium difficile","Int inf clstrdium dfcile",32,2015
"00846","Intestinal infection due to other anaerobes","Intes infec oth anerobes",32,2015
"00847","Intestinal infection due to other gram-negative bacteria","Int inf oth grm neg bctr",32,2015
"00849","Intestinal infection due to other organisms","Bacterial enteritis NEC",32,2015
"0085","Bacterial enteritis, unspecified","Bacterial enteritis NOS",32,2015
"00861","Enteritis due to rotavirus","Intes infec rotavirus",32,2015
"00862","Enteritis due to adenovirus","Intes infec adenovirus",32,2015
"00863","Enteritis due to norwalk virus","Int inf norwalk virus",32,2015
"00864","Enteritis due to other small round viruses [SRV's]","Int inf oth sml rnd vrus",32,2015
"00865","Enteritis due to calicivirus","Enteritis d/t calicivirs",32,2015
"00866","Enteritis due to astrovirus","Intes infec astrovirus",32,2015
"00867","Enteritis due to enterovirus nec","Int inf enterovirus NEC",32,2015
