'ICD-9-CM CODE','ICD-9-CM CODE DESCRIPTION','CATEGORY DESCRIPTION','BODY SYSTEM'
'0010 ',"CHOLERA D/T VIB CHOLERAE",'0','1'
'0011 ',"CHOLERA D/T VIB EL TOR",'0','1'
'0019 ',"CHOLERA NOS",'0','1'
'0020 ',"TYPHOID FEVER",'0','1'
'0021 ',"PARATYPHOID FEVER A",'0','1'
'0022 ',"PARATYPHOID FEVER B",'0','1'
'0023 ',"PARATYPHOID FEVER C",'0','1'
'0029 ',"PARATYPHOID FEVER NOS",'0','1'
'0030 ',"SALMONELLA ENTERITIS",'0','1'
'0031 ',"SALMONELLA SEPTICEMIA",'0','1'
'00320',"LOCAL SALMONELLA INF NOS",'0','1'
'00321',"SALMONELLA MENINGITIS",'0','1'
'00322',"SALMONELLA PNEUMONIA",'0','1'
'00323',"SALMONELLA ARTHRITIS",'0','1'
'00324',"SALMONELLA OSTEOMYELITIS",'0','1'
'00329',"LOCAL SALMONELLA INF NEC",'0','1'
'0038 ',"SALMONELLA INFECTION NEC",'0','1'
'0039 ',"SALMONELLA INFECTION NOS",'0','1'
'0040 ',"SHIGELLA DYSENTERIAE",'0','1'
'0041 ',"SHIGELLA FLEXNERI",'0','1'
'0042 ',"SHIGELLA BOYDII",'0','1'
'0043 ',"SHIGELLA SONNEI",'0','1'
'0048 ',"SHIGELLA INFECTION NEC",'0','1'
'0049 ',"SHIGELLOSIS NOS",'0','1'
'0050 ',"STAPH FOOD POISONING",'0','1'
'0051 ',"BOTULISM",'0','1'
'0052 ',"FOOD POIS D/T C. PERFRIN",'0','1'
'0053 ',"FOOD POIS: CLOSTRID NEC",'0','1'
'0054 ',"FOOD POIS: V. PARAHAEM",'0','1'
'0058 ',"BACT FOOD POISONING NEC  (End 1995)",'0','1'
'00581',"FOOD POISONING VIBRIO (Begin 1995)",'0','1'
'00589',"OTH BACT FOOD POISONING (Begin 1995)",'0','1'
'0059 ',"FOOD POISONING NOS",'0','1'
'0060 ',"AC AMEBIASIS W/O ABSCESS",'0','1'
'0061 ',"CHR AMEBIASIS W/O ABSCES",'0','1'
'0062 ',"AMEBIC NONDYSENT COLITIS",'0','1'
'0063 ',"AMEBIC LIVER ABSCESS",'0','1'
'0064 ',"AMEBIC LUNG ABSCESS",'0','1'
'0065 ',"AMEBIC BRAIN ABSCESS",'0','1'
'0066 ',"AMEBIC SKIN ULCERATION",'0','1'
'0068 ',"AMEBIC INFECTION NEC",'0','1'
'0069 ',"AMEBIASIS NOS",'0','1'
'0070 ',"BALANTIDIASIS",'0','1'
'0071 ',"GIARDIASIS",'0','1'
'0072 ',"COCCIDIOSIS",'0','1'
'0073 ',"INTEST TRICHOMONIASIS",'0','1'
'0074 ',"OT PROTOZ INTEST DX CRYP (Begin 1997)",'0','1'
'0075 ',"CYCLOSPORIASIS (Begin 2000)",'0','1'
'0078 ',"PROTOZOAL INTEST DIS NEC",'0','1'
'0079 ',"PROTOZOAL INTEST DIS NOS",'0','1'
'0080 ',"E. COLI ENTERITIS (Begin 1980 End 1992)",'0','1'
'00800',"E. COLI ENTERITIS-NOS (Begin 1992)",'0','1'
'00801',"E. COLI ENTERITIS-PATH (Begin 1992)",'0','1'
'00802',"E. COLI ENTERITIS-TOX (Begin 1992)",'0','1'
'00803',"E. COLI ENTERITIS-INVAS (Begin 1992)",'0','1'
'00804',"E. COLI ENTERITIS-HEMOR (Begin 1992)",'0','1'
'00809',"E. COLI ENTERITIS-OTHER (Begin 1992)",'0','1'
'0081 ',"ARIZONA ENTERITIS",'0','1'
'0082 ',"AEROBACTER ENTERITIS",'0','1'
'0083 ',"PROTEUS ENTERITIS",'0','1'
'00841',"STAPHYLOCOCC ENTERITIS",'0','1'
'00842',"PSEUDOMONAS ENTERITIS",'0','1'
'00843',"CAMPYLOBACTER (Begin 1992)",'0','1'
'00844',"YERSINIA (Begin 1992)",'0','1'
'00845',"CLOSTRIDIUM DIF (Begin 1992)",'0','1'
'00846',"OTHER ANAEROBES (Begin 1992)",'0','1'
'00847',"OTH GRAM NEG BACT (Begin 1992)",'0','1'
'00849',"BACTERIAL ENTERITIS NEC",'0','1'
'0085 ',"BACTERIAL ENTERITIS NOS",'0','1'
'0086 ',"VIRAL ENTERITIS NEC (Begin 1980 End 1992)",'0','1'
'00861',"ROTAVIRUS ENTERITIS (Begin 1992)",'0','1'
'00862',"ADENOVIR ENTERITIS (Begin 1992)",'0','1'
'00863',"NORWALK VIR ENTERITIS (Begin 1992)",'0','1'
'00864',"SML ROUND VIR ENTERITIS (Begin 1992)",'0','1'
'00865',"CALCIVIRUS ENTERITIS (Begin 1992)",'0','1'
'00866',"ASTROVIRUS ENTERITIS (Begin 1992)",'0','1'
'00867',"ENTERITIS NEC (Begin 1992)",'0','1'
'00869',"ENTERITIS NOS (Begin 1992)",'0','1'
'0088 ',"VIRAL ENTERITIS NOS",'0','1'
'0090 ',"INFECTIOUS ENTERITIS NOS",'0','1'
'0091 ',"ENTERITIS OF INFECT ORIG",'0','1'
'0092 ',"INFECTIOUS DIARRHEA NOS",'0','1'
'0093 ',"DIARRHEA OF INFECT ORIG",'0','1'
'01000',"PRIM TB COMPLEX-UNSPEC",'0','1'
'01001',"PRIM TB COMPLEX-NO EXAM",'0','1'
'01002',"PRIM TB COMPLEX-EXM UNKN",'0','1'
'01003',"PRIM TB COMPLEX-MICRO DX",'0','1'
'01004',"PRIM TB COMPLEX-CULT DX",'0','1'
