ICD_Code,ICD_Code_Description,DX_PR,CCC_Category,CCC_Subcategory,ICD9_ICD10,Tech_Dep,Transplant
135,Sarcoidosis,DX,hemato_immu,Sarcoidosis,9,0,0
179,"Malignant neoplasm of uterus, part unspecified",DX,malignancy,Neoplasms,9,0,0
181,Malignant neoplasm of placenta,DX,malignancy,Neoplasms,9,0,0
185,Malignant neoplasm of prostate,DX,malignancy,Neoplasms,9,0,0
193,Malignant neoplasm of thyroid gland,DX,malignancy,Neoplasms,9,0,0
243,Congenital hypothyroidism,DX,metabolic,Endocrine disorders,9,0,0
253,Complete glossectomy,PR,GI,Other GI disease,9,0,0
254,Radical glossectomy,PR,GI,Other GI disease,9,0,0
303,Complete laryngectomy,PR,respiratory,Other respiratory,9,0,0
304,Radical laryngectomy,PR,respiratory,Other respiratory,9,0,0
336,Combined heart-lung transplantation,PR,respiratory,Transplantation,9,0,1
336,Combined heart-lung transplantation,PR,transplant,,9,0,1
415,Total splenectomy,PR,hemato_immu,Other Hematologic/Immunologic,9,0,0
504,Total hepatectomy,PR,GI,Other GI disease,9,0,0
526,Total pancreatectomy,PR,GI,Other GI disease,9,0,0
527,Radical pancreaticoduodenectomy,PR,GI,Other GI disease,9,0,0
645,"Operations for sex transformation, NEC",PR,metabolic,Endocrine disorders,9,0,0
1400,"Malignant neoplasm of upper lip, vermilion border",DX,malignancy,Neoplasms,9,0,0
1401,"Malignant neoplasm of lower lip, vermilion border",DX,malignancy,Neoplasms,9,0,0
1403,"Malignant neoplasm of upper lip, inner aspect",DX,malignancy,Neoplasms,9,0,0
1404,"Malignant neoplasm of lower lip, inner aspect",DX,malignancy,Neoplasms,9,0,0
1405,"Malignant neoplasm of lip, unspecified, inner aspect",DX,malignancy,Neoplasms,9,0,0
1406,Malignant neoplasm of commissure of lip,DX,malignancy,Neoplasms,9,0,0
1408,Malignant neoplasm of other sites of lip,DX,malignancy,Neoplasms,9,0,0
1409,"Malignant neoplasm of lip, unspecified, vermilion border",DX,malignancy,Neoplasms,9,0,0
1410,Malignant neoplasm of base of tongue,DX,malignancy,Neoplasms,9,0,0
1411,Malignant neoplasm of dorsal surface of tongue,DX,malignancy,Neoplasms,9,0,0
1412,Malignant neoplasm of tip and lateral border of tongue,DX,malignancy,Neoplasms,9,0,0
1413,Malignant neoplasm of ventral surface of tongue,DX,malignancy,Neoplasms,9,0,0
1414,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",DX,malignancy,Neoplasms,9,0,0
1415,Malignant neoplasm of junctional zone of tongue,DX,malignancy,Neoplasms,9,0,0
1416,Malignant neoplasm of lingual tonsil,DX,malignancy,Neoplasms,9,0,0
1418,Malignant neoplasm of other sites of tongue,DX,malignancy,Neoplasms,9,0,0
1419,"Malignant neoplasm of tongue, unspecified",DX,malignancy,Neoplasms,9,0,0
1420,Malignant neoplasm of parotid gland,DX,malignancy,Neoplasms,9,0,0
1421,Malignant neoplasm of submandibular gland,DX,malignancy,Neoplasms,9,0,0
1422,Malignant neoplasm of sublingual gland,DX,malignancy,Neoplasms,9,0,0
1428,Malignant neoplasm of other major salivary glands,DX,malignancy,Neoplasms,9,0,0
1429,"Malignant neoplasm of salivary gland, unspecified",DX,malignancy,Neoplasms,9,0,0
1430,Malignant neoplasm of upper gum,DX,malignancy,Neoplasms,9,0,0
1431,Malignant neoplasm of lower gum,DX,malignancy,Neoplasms,9,0,0
1438,Malignant neoplasm of other sites of gum,DX,malignancy,Neoplasms,9,0,0
1439,"Malignant neoplasm of gum, unspecified",DX,malignancy,Neoplasms,9,0,0
1440,Malignant neoplasm of anterior portion of floor of mouth,DX,malignancy,Neoplasms,9,0,0
1441,Malignant neoplasm of lateral portion of floor of mouth,DX,malignancy,Neoplasms,9,0,0
1448,Malignant neoplasm of other sites of floor of mouth,DX,malignancy,Neoplasms,9,0,0
1449,"Malignant neoplasm of floor of mouth, part unspecified",DX,malignancy,Neoplasms,9,0,0
1450,Malignant neoplasm of cheek mucosa,DX,malignancy,Neoplasms,9,0,0
1451,Malignant neoplasm of vestibule of mouth,DX,malignancy,Neoplasms,9,0,0
